TEAM;NAME;ROLE;BIRTH;HEIGHT;NATIONALITY 
Banca Valsabbina Millenium Brescia;SALA CHIARA;LIBERO;2003;160;ITA 
Banca Valsabbina Millenium Brescia;BECHIS MARTA;PALLEGGIATRICE;1989;181;ITA 
Banca Valsabbina Millenium Brescia;ANGELINA GIULIA;SCHIACCIATRICE;1997;192;ITA 
Banca Valsabbina Millenium Brescia;JASPER MARRIT;SCHIACCIATRICE;1996;180;NED 
Banca Valsabbina Millenium Brescia;PERICATI YLENIA;LIBERO;1994;174;ITA 
Banca Valsabbina Millenium Brescia;CVETNIC LEA;SCHIACCIATRICE;1999;186;CRO 
Banca Valsabbina Millenium Brescia;PARLANGELI FRANCESCA;LIBERO;1990;164;ITA 
Banca Valsabbina Millenium Brescia;BRIDI ULRIKE;PALLEGGIATRICE;1998;182;ITA 
Banca Valsabbina Millenium Brescia;BIGANZOLI FEDERICA;SCHIACCIATRICE;1987;179;ITA 
Banca Valsabbina Millenium Brescia;BOTEZAT ALEXANDRA;CENTRALE;1998;196;ITA 
Banca Valsabbina Millenium Brescia;BERTI BEATRICE;CENTRALE;1996;193;ITA 
Banca Valsabbina Millenium Brescia;VEGLIA TIZIANA;CENTRALE;1992;186;ITA 
Banca Valsabbina Millenium Brescia;DECORTES CLARA;OPPOSTO;1996;183;ITA 
Banca Valsabbina Millenium Brescia;NICOLETTI ANNA;OPPOSTO;1996;189;ITA 
Bartoccini Fortinfissi Perugia;CASILLO LUISA;CENTRALE;1988;188;ITA 
Bartoccini Fortinfissi Perugia;CARCACES KENIA;SCHIACCIATRICE;1986;189;CUB 
Bartoccini Fortinfissi Perugia;AGRIFOGLIO BEATRICE;PALLEGGIATRICE;1994;178;ITA 
Bartoccini Fortinfissi Perugia;SCARABOTTINI ANASTASIA;SCHIACCIATRICE;2004;185;ITA 
Bartoccini Fortinfissi Perugia;CECCHETTO GIADA;LIBERO;1991;164;ITA 
Bartoccini Fortinfissi Perugia;DI IULIO ISABELLA;PALLEGGIATRICE;1991;175;ITA 
Bartoccini Fortinfissi Perugia;RUMORI CHIARA;LIBERO;1998;163;ITA 
Bartoccini Fortinfissi Perugia;MLINAR LUCIJA;SCHIACCIATRICE;1995;180;CRO 
Bartoccini Fortinfissi Perugia;KOOLHAAS NICOLE;CENTRALE;1991;198;NED 
Bartoccini Fortinfissi Perugia;ORTOLANI SERENA;OPPOSTO;1987;187;ITA 
Bartoccini Fortinfissi Perugia;ANGELONI VERONICA;SCHIACCIATRICE;1986;186;ITA 
Bartoccini Fortinfissi Perugia;HAVELKOVA HELENA;SCHIACCIATRICE;1988;188;CZE 
Bartoccini Fortinfissi Perugia;AELBRECHT FREYA;CENTRALE;1990;186;BEL 
Bosca S.Bernardo Cuneo;BICI ERBLIRA;OPPOSTO;1995;185;ALB 
Bosca S.Bernardo Cuneo;DEGRADI ALICE;SCHIACCIATRICE;1996;181;ITA 
Bosca S.Bernardo Cuneo;TURCO ALICE;PALLEGGIATRICE;2000;178;ITA 
Bosca S.Bernardo Cuneo;GIOVANNINI GAIA;SCHIACCIATRICE;2001;182;ITA 
Bosca S.Bernardo Cuneo;CANDI SONIA;CENTRALE;1993;187;ITA 
Bosca S.Bernardo Cuneo;STRANTZALI OLGA;SCHIACCIATRICE;1996;185;GRE 
Bosca S.Bernardo Cuneo;FAVA FRANCESCA;CENTRALE;1998;182;ITA 
Bosca S.Bernardo Cuneo;SIGNORILE NOEMI;PALLEGGIATRICE;1990;183;ITA 
Bosca S.Bernardo Cuneo;STIJEPIC MILKA;OPPOSTO;1997;182;SRB 
Bosca S.Bernardo Cuneo;ZANNONI GIORGIA;LIBERO;1998;171;ITA 
Bosca S.Bernardo Cuneo;ZAKCHAIOU KATERINA;CENTRALE;1998;192;CYP 
Bosca S.Bernardo Cuneo;UNGUREANU ADELINA;SCHIACCIATRICE;2000;187;ROM 
Bosca S.Bernardo Cuneo;GAY ALICE;LIBERO;2002;165;ITA 
Delta Despar Trentino;PIANI VITTORIA;OPPOSTO;1998;180;ITA 
Delta Despar Trentino;MARCONE BENEDETTA;SCHIACCIATRICE;1993;180;ITA 
Delta Despar Trentino;TREVISAN FRANCESCA;SCHIACCIATRICE;1995;180;ITA 
Delta Despar Trentino;MORO ILENIA;LIBERO;1999;178;ITA 
Delta Despar Trentino;FONDRIEST SILVIA;CENTRALE;1988;188;ITA 
Delta Despar Trentino;CUMINO MARIA LUISA;PALLEGGIATRICE;1992;177;ITA 
Delta Despar Trentino;RICCI MARIA IRENE;PALLEGGIATRICE;1996;179;ITA 
Delta Despar Trentino;D'ODORICO SOFIA;SCHIACCIATRICE;1997;186;ITA 
Delta Despar Trentino;PIZZOLATO VALERIA;CENTRALE;1999;182;ITA 
Delta Despar Trentino;FURLAN ELEONORA;CENTRALE;1995;188;ITA 
Delta Despar Trentino;MELLI GIULIA;SCHIACCIATRICE;1998;184;ITA 
Delta Despar Trentino;BISIO ELENA;OPPOSTO;2000;183;ITA 
